OverallQual,TotalSF,LandContour,GarageCars,Heating,Functional,KitchenQual,Neighborhood,CentralAir,MSZoning,KitchenAbvGr,RoofMatl,Neighborhood,Fireplaces
7,2566,Lvl,2,GasA,Typ,Gd,CollgCr,Y,RL,1,CompShg,CollgCr,0
6,2524,Lvl,2,GasA,Typ,TA,Veenker,Y,RL,1,CompShg,Veenker,1
7,2706,Lvl,2,GasA,Typ,Gd,CollgCr,Y,RL,1,CompShg,CollgCr,1
7,2473,Lvl,3,GasA,Typ,Gd,Crawfor,Y,RL,1,CompShg,Crawfor,1
8,3343,Lvl,3,GasA,Typ,Gd,NoRidge,Y,RL,1,CompShg,NoRidge,1
5,2158,Lvl,2,GasA,Typ,TA,Mitchel,Y,RL,1,CompShg,Mitchel,0
8,3380,Lvl,2,GasA,Typ,Gd,Somerst,Y,RL,1,CompShg,Somerst,1
7,3197,Lvl,2,GasA,Typ,TA,NWAmes,Y,RL,1,CompShg,NWAmes,2
7,2726,Lvl,2,GasA,Min1,TA,OldTown,Y,RM,2,CompShg,OldTown,2
5,2068,Lvl,1,GasA,Typ,TA,BrkSide,Y,RL,2,CompShg,BrkSide,2
5,2080,Lvl,1,GasA,Typ,TA,Sawyer,Y,RL,1,CompShg,Sawyer,0
9,3499,Lvl,3,GasA,Typ,Ex,NridgHt,Y,RL,1,CompShg,NridgHt,2
5,1824,Lvl,1,GasA,Typ,TA,Sawyer,Y,RL,1,CompShg,Sawyer,0
7,2988,Lvl,3,GasA,Typ,Gd,CollgCr,Y,RL,1,CompShg,CollgCr,1
6,2506,Lvl,1,GasA,Typ,TA,NAmes,Y,RL,1,CompShg,NAmes,1
7,1686,Lvl,2,GasA,Typ,TA,BrkSide,Y,RM,1,CompShg,BrkSide,0
6,2008,Lvl,2,GasA,Typ,TA,NAmes,Y,RL,1,CompShg,NAmes,1
4,1296,Lvl,2,GasA,Typ,TA,Sawyer,Y,RL,2,CompShg,Sawyer,0
5,2228,Lvl,2,GasA,Typ,Gd,SawyerW,Y,RL,1,CompShg,SawyerW,0
5,2368,Lvl,1,GasA,Min1,TA,NAmes,Y,RL,1,CompShg,NAmes,0
8,3534,Lvl,3,GasA,Typ,Gd,NridgHt,Y,RL,1,CompShg,NridgHt,1
7,1745,Bnk,1,GasA,Typ,Gd,IDOTRR,Y,RM,1,CompShg,IDOTRR,1
8,3572,Lvl,2,GasA,Typ,Gd,CollgCr,Y,RL,1,CompShg,CollgCr,1
5,2100,Lvl,2,GasA,Typ,TA,MeadowV,Y,RM,1,CompShg,MeadowV,1
5,2120,Lvl,1,GasA,Typ,Gd,Sawyer,Y,RL,1,CompShg,Sawyer,1
8,3166,Lvl,3,GasA,Typ,Gd,NridgHt,Y,RL,1,CompShg,NridgHt,1
5,1800,Lvl,2,GasA,Typ,Gd,NAmes,Y,RL,1,CompShg,NAmes,0
8,3408,Lvl,3,GasA,Typ,Gd,NridgHt,Y,RL,1,CompShg,NridgHt,1
5,3084,Lvl,1,GasA,Typ,TA,NAmes,Y,RL,1,CompShg,NAmes,2
4,1040,Lvl,1,GasA,Typ,Fa,BrkSide,N,RM,1,CompShg,BrkSide,0
4,1966,Lvl,1,GasA,Typ,TA,IDOTRR,N,C (all),1,CompShg,IDOTRR,0
5,2456,Lvl,1,GasA,Typ,Gd,Sawyer,Y,RL,1,CompShg,Sawyer,0
8,2468,Lvl,2,GasA,Typ,Gd,CollgCr,Y,RL,1,CompShg,CollgCr,0
5,3098,Lvl,2,GasA,Typ,Gd,NAmes,Y,RL,1,CompShg,NAmes,1
9,3122,Lvl,2,GasA,Typ,Ex,NridgHt,Y,RL,1,CompShg,NridgHt,1
8,3569,Lvl,3,GasA,Typ,Gd,NridgHt,Y,RL,1,CompShg,NridgHt,1
5,2194,Lvl,2,GasA,Typ,TA,CollgCr,Y,RL,1,CompShg,CollgCr,0
5,2594,Lvl,2,GasA,Typ,TA,NAmes,Y,RL,1,CompShg,NAmes,1
5,2114,Lvl,1,GasA,Typ,Gd,NAmes,Y,RL,1,CompShg,NAmes,0
4,1152,Lvl,0,GasA,Typ,Fa,Edwards,N,RL,2,CompShg,Edwards,0
6,2412,Lvl,2,GasA,Typ,TA,NAmes,Y,RL,1,CompShg,NAmes,1
5,2678,Lvl,1,GasA,Typ,TA,Timber,Y,RL,1,CompShg,Timber,2
5,1724,Lvl,2,GasA,Typ,Gd,SawyerW,Y,RL,1,CompShg,SawyerW,0
5,1876,Lvl,1,GasA,Typ,TA,CollgCr,Y,RL,1,CompShg,CollgCr,0
5,2300,Lvl,1,GasA,Typ,TA,NAmes,Y,RL,1,CompShg,NAmes,0
9,3504,Lvl,2,GasA,Typ,Ex,NridgHt,Y,RL,1,CompShg,NridgHt,1
7,3583,Lvl,2,GasA,Typ,Gd,Mitchel,Y,RL,1,CompShg,Mitchel,1
8,3312,Lvl,3,GasA,Typ,Gd,Somerst,Y,FV,1,CompShg,Somerst,0
4,2188,Lvl,0,GasA,Typ,TA,OldTown,Y,RM,3,CompShg,OldTown,0
5,1910,Lvl,1,GasA,Typ,TA,Sawyer,Y,RL,1,CompShg,Sawyer,0
6,2264,Lvl,2,GasA,Typ,TA,Gilbert,Y,RL,1,CompShg,Gilbert,0
6,1632,Lvl,2,GasA,Typ,TA,BrkSide,Y,RM,1,CompShg,BrkSide,1
5,1632,Bnk,2,GasA,Typ,TA,IDOTRR,N,RM,1,CompShg,IDOTRR,0
9,3684,Low,3,GasA,Typ,Gd,Veenker,Y,RL,1,WdShngl,Veenker,1
5,1744,Bnk,2,GasA,Min1,TA,NAmes,Y,RL,1,CompShg,NAmes,1
6,2850,Lvl,2,GasA,Typ,TA,NAmes,Y,RL,1,CompShg,NAmes,1
8,2709,Lvl,2,GasA,Typ,Gd,Somerst,Y,FV,1,CompShg,Somerst,0
7,2580,Lvl,2,GasA,Typ,Gd,CollgCr,Y,RL,1,CompShg,CollgCr,0
10,4355,HLS,3,GasA,Typ,Gd,StoneBr,Y,RL,1,CompShg,StoneBr,1
5,1560,Bnk,1,GasA,Typ,TA,CollgCr,Y,RL,1,CompShg,CollgCr,0
6,2316,Lvl,2,GasA,Typ,Gd,SawyerW,Y,RL,1,CompShg,SawyerW,0
5,1641,Lvl,1,GasA,Typ,Fa,IDOTRR,N,RM,1,CompShg,IDOTRR,0
8,2740,Lvl,2,GasA,Typ,Gd,NridgHt,Y,RL,1,CompShg,NridgHt,1
7,2286,Bnk,2,GasA,Typ,TA,OldTown,Y,RM,1,CompShg,OldTown,0
7,3091,Lvl,2,GasA,Typ,Gd,CollgCr,Y,RL,1,CompShg,CollgCr,0
8,3616,Lvl,3,GasA,Typ,Gd,NridgHt,Y,RL,1,CompShg,NridgHt,1
7,4154,Lvl,2,GasA,Min1,TA,NAmes,Y,RL,1,CompShg,NAmes,1
7,2932,Lvl,2,GasA,Typ,Gd,CollgCr,Y,RL,1,CompShg,CollgCr,0
4,1494,Lvl,1,GasA,Typ,TA,OldTown,Y,RM,1,CompShg,OldTown,0
7,3591,Lvl,2,GasW,Typ,TA,ClearCr,Y,RL,1,CompShg,ClearCr,1
7,4446,Lvl,2,GasA,Typ,TA,NAmes,Y,RL,1,CompShg,NAmes,2
4,1690,Lvl,2,GasA,Typ,TA,Mitchel,Y,RL,1,CompShg,Mitchel,0
7,2550,Lvl,2,GasA,Typ,TA,Gilbert,Y,RL,1,CompShg,Gilbert,1
5,2172,Lvl,2,GasA,Typ,TA,NAmes,Y,RL,1,CompShg,NAmes,0
3,2445,Lvl,1,GasA,Typ,TA,OldTown,N,RM,2,CompShg,OldTown,0
4,1450,Lvl,1,GasA,Typ,TA,MeadowV,Y,RM,1,CompShg,MeadowV,0
4,1904,Lvl,1,GasA,Typ,TA,NAmes,Y,RL,1,CompShg,NAmes,0
5,1957,Lvl,1,GasA,Min1,TA,BrkSide,Y,RM,1,CompShg,BrkSide,0
4,3536,Lvl,0,GasA,Typ,TA,Sawyer,N,RL,2,CompShg,Sawyer,0
5,1670,Lvl,2,GasA,Typ,TA,OldTown,Y,RM,1,CompShg,OldTown,0
6,3038,Lvl,1,GasA,Typ,Gd,NAmes,Y,RL,1,CompShg,NAmes,1
6,2574,Lvl,2,GasA,Typ,TA,Mitchel,Y,RM,1,CompShg,Mitchel,0
8,3126,Lvl,3,GasA,Typ,Gd,Somerst,Y,RL,1,CompShg,Somerst,1
5,2130,Lvl,2,GasA,Typ,TA,NAmes,Y,RL,1,CompShg,NAmes,0
7,1858,Lvl,2,GasA,Typ,TA,Gilbert,Y,RL,1,CompShg,Gilbert,1
8,3705,Lvl,2,GasA,Typ,Gd,NoRidge,Y,RL,1,CompShg,NoRidge,1
6,2244,Lvl,2,GasA,Typ,Gd,Gilbert,Y,RL,1,CompShg,Gilbert,1
6,1836,Lvl,2,GasA,Typ,Gd,Somerst,Y,FV,1,CompShg,Somerst,0
3,2026,Lvl,0,GasA,Typ,Fa,IDOTRR,N,C (all),1,CompShg,IDOTRR,0
4,1980,Lvl,0,GasA,Typ,TA,CollgCr,Y,RL,1,CompShg,CollgCr,0
4,1040,Lvl,2,GasA,Typ,TA,NAmes,Y,RL,1,CompShg,NAmes,0
5,2470,Lvl,2,GasA,Typ,TA,NAmes,Y,RL,1,CompShg,NAmes,0
5,1840,HLS,2,GasA,Typ,TA,Crawfor,Y,RL,1,CompShg,Crawfor,0
6,3505,Lvl,2,GasW,Typ,TA,OldTown,N,C (all),2,CompShg,OldTown,1
6,2610,Lvl,2,GasA,Typ,Gd,CollgCr,Y,RL,1,CompShg,CollgCr,0
6,2150,Lvl,2,GasA,Typ,TA,Gilbert,Y,RL,1,CompShg,Gilbert,1
7,3176,Lvl,2,GasA,Typ,Gd,CollgCr,Y,RL,1,CompShg,CollgCr,0
4,1920,HLS,1,GasA,Typ,TA,Edwards,Y,RL,1,CompShg,Edwards,0
5,1293,Lvl,1,GasA,Typ,TA,Edwards,N,RL,1,CompShg,Edwards,0
4,2175,Lvl,0,GasA,Typ,TA,NAmes,Y,RL,1,CompShg,NAmes,0
6,3220,Lvl,2,GasA,Typ,Gd,NWAmes,Y,RL,1,CompShg,NWAmes,2
6,2473,Lvl,2,GasA,Typ,Gd,SawyerW,Y,RL,1,CompShg,SawyerW,1
5,1535,Bnk,2,GasA,Typ,TA,SawyerW,Y,RL,2,CompShg,SawyerW,0
7,2452,Lvl,3,GasA,Typ,Gd,CollgCr,Y,RL,1,CompShg,CollgCr,0
7,2858,Lvl,1,GasA,Typ,TA,IDOTRR,Y,RM,1,CompShg,IDOTRR,2
8,3045,Lvl,2,GasA,Typ,Gd,Somerst,Y,FV,1,CompShg,Somerst,1
4,1688,Lvl,1,GasA,Typ,TA,OldTown,Y,RM,1,CompShg,OldTown,0
5,1578,Lvl,1,GasA,Typ,TA,OldTown,Y,RM,1,CompShg,OldTown,0
5,2310,Lvl,0,GasW,Typ,Fa,IDOTRR,N,RM,1,CompShg,IDOTRR,0
6,3688,Lvl,2,GasA,Typ,TA,NWAmes,Y,RL,1,CompShg,NWAmes,1
6,2849,Lvl,1,GasA,Typ,TA,Edwards,Y,RL,1,CompShg,Edwards,0
7,1814,Lvl,2,GasA,Typ,TA,Gilbert,Y,RL,1,CompShg,Gilbert,1
7,3960,Lvl,3,GasA,Typ,Ex,CollgCr,Y,RL,1,CompShg,CollgCr,1
6,4068,Bnk,2,GasA,Typ,Gd,Crawfor,Y,RL,1,CompShg,Crawfor,2
6,3348,Lvl,1,GasA,Typ,Gd,Crawfor,Y,RL,1,CompShg,Crawfor,1
6,2187,Lvl,2,GasA,Typ,TA,Somerst,Y,FV,1,CompShg,Somerst,1
5,2184,Lvl,1,GasA,Typ,TA,Sawyer,Y,RL,1,CompShg,Sawyer,1
5,2250,Lvl,2,GasA,Typ,TA,Edwards,Y,RL,1,CompShg,Edwards,0
7,4895,Lvl,3,GasA,Typ,Gd,SawyerW,Y,RL,1,CompShg,SawyerW,2
6,2184,Lvl,2,GasA,Typ,Gd,CollgCr,Y,RL,1,CompShg,CollgCr,1
6,1926,Low,2,GasA,Typ,TA,ClearCr,Y,RL,1,Metal,ClearCr,2
4,1855,Lvl,1,GasA,Typ,TA,IDOTRR,Y,RM,1,CompShg,IDOTRR,0
6,2160,Lvl,1,GasA,Typ,TA,NAmes,Y,RL,1,CompShg,NAmes,0
6,2398,Lvl,2,GasA,Typ,Gd,SawyerW,Y,RL,1,CompShg,SawyerW,0
6,2948,Lvl,2,GasA,Typ,TA,NWAmes,Y,RL,1,CompShg,NWAmes,1
6,1040,Lvl,0,GasA,Typ,TA,IDOTRR,N,RM,1,CompShg,IDOTRR,0
6,2036,Lvl,2,GasA,Typ,TA,NPkVill,Y,RL,1,CompShg,NPkVill,1
5,1512,Bnk,0,GasA,Typ,TA,OldTown,Y,RM,1,CompShg,OldTown,1
6,2008,Lvl,2,GasA,Typ,TA,NAmes,Y,RL,1,CompShg,NAmes,1
5,2061,Lvl,2,GasA,Typ,Ex,NAmes,Y,RL,1,CompShg,NAmes,0
7,3081,Lvl,2,GasA,Typ,Gd,NAmes,Y,RL,1,CompShg,NAmes,2
6,3046,Lvl,2,GasA,Typ,Gd,Gilbert,Y,RL,1,CompShg,Gilbert,1
5,2390,Lvl,2,GasA,Typ,Gd,NAmes,Y,RL,1,CompShg,NAmes,0
8,2563,Lvl,2,GasA,Typ,Gd,Timber,Y,RL,1,CompShg,Timber,0
5,3182,Lvl,2,GasA,Min1,TA,Sawyer,Y,RL,1,CompShg,Sawyer,1
7,2986,Lvl,2,GasA,Typ,TA,NWAmes,Y,RL,1,CompShg,NWAmes,1
5,2428,Lvl,1,GasA,Typ,TA,NAmes,Y,RL,1,CompShg,NAmes,1
7,3866,Lvl,3,GasA,Typ,TA,Mitchel,Y,RL,2,CompShg,Mitchel,0
8,2856,Lvl,3,GasA,Typ,Gd,CollgCr,Y,RL,1,CompShg,CollgCr,2
6,2692,Lvl,2,GasA,Typ,Gd,CollgCr,Y,RL,1,CompShg,CollgCr,0
4,1728,Lvl,0,GasA,Typ,TA,NAmes,Y,RL,1,CompShg,NAmes,1
7,3468,Lvl,2,GasA,Typ,Gd,CollgCr,Y,RL,1,CompShg,CollgCr,0
5,2295,Lvl,2,GasA,Typ,TA,NAmes,Y,RL,1,CompShg,NAmes,0
7,2991,Lvl,2,GasA,Typ,Gd,CollgCr,Y,RL,1,CompShg,CollgCr,0
5,3456,Lvl,2,GasA,Typ,TA,Sawyer,Y,RM,2,CompShg,Sawyer,0
6,2679,Lvl,2,GasA,Maj1,Gd,Edwards,Y,RM,1,CompShg,Edwards,0
5,1590,Lvl,1,GasA,Typ,TA,BrkSide,Y,RM,1,CompShg,BrkSide,0
7,2919,Lvl,2,GasA,Typ,Gd,Gilbert,Y,RL,1,CompShg,Gilbert,1
7,2160,Lvl,0,GasA,Typ,Gd,SawyerW,Y,RL,1,CompShg,SawyerW,0
5,2240,Lvl,1,GasA,Typ,TA,BrkSide,Y,RM,1,CompShg,BrkSide,0
5,1938,Lvl,2,GasA,Typ,TA,CollgCr,Y,RL,1,CompShg,CollgCr,0
8,3420,Lvl,3,GasA,Typ,Gd,NridgHt,Y,RL,1,CompShg,NridgHt,1
6,2818,Lvl,2,GasA,Typ,TA,NWAmes,Y,RL,1,CompShg,NWAmes,1
6,2854,Lvl,2,GasA,Typ,TA,ClearCr,Y,RL,1,CompShg,ClearCr,1
6,2400,Lvl,1,GasA,Typ,TA,OldTown,Y,RM,1,CompShg,OldTown,0
6,1668,Lvl,0,Grav,Typ,TA,Edwards,N,RL,1,CompShg,Edwards,0
5,1040,Lvl,2,GasA,Typ,TA,NAmes,Y,RL,1,CompShg,NAmes,0
8,2742,Lvl,3,GasA,Typ,Ex,Timber,Y,RL,1,CompShg,Timber,1
7,2938,Lvl,2,GasA,Typ,Gd,Somerst,Y,FV,1,CompShg,Somerst,1
7,3854,HLS,2,GasA,Typ,Gd,Gilbert,Y,RL,1,CompShg,Gilbert,1
6,2464,Lvl,2,GasA,Typ,TA,Veenker,Y,RL,1,CompShg,Veenker,0
9,4240,Lvl,3,GasA,Typ,Ex,NridgHt,Y,RL,1,CompShg,NridgHt,2
7,3082,Lvl,2,GasA,Typ,Gd,NridgHt,Y,RL,1,CompShg,NridgHt,1
4,1764,Lvl,0,GasA,Typ,TA,OldTown,Y,RL,1,CompShg,OldTown,0
6,2765,Lvl,1,GasA,Typ,Gd,OldTown,Y,RM,1,CompShg,OldTown,0
5,1999,Lvl,0,GasA,Typ,TA,Edwards,Y,RL,2,CompShg,Edwards,0
5,3484,Lvl,1,GasA,Typ,TA,ClearCr,Y,RL,1,CompShg,ClearCr,3
8,3743,Lvl,3,GasA,Typ,Ex,NridgHt,Y,RL,1,CompShg,NridgHt,1
7,2560,Lvl,2,GasA,Typ,Gd,Gilbert,Y,RL,1,CompShg,Gilbert,1
8,3393,Lvl,2,GasA,Typ,TA,Timber,Y,RL,1,WdShake,Timber,1
5,1574,Lvl,2,GasA,Typ,TA,OldTown,Y,RM,1,CompShg,OldTown,0
6,2736,Lvl,2,GasA,Typ,TA,NAmes,Y,RL,1,CompShg,NAmes,2
7,2831,Lvl,2,GasA,Typ,Gd,StoneBr,Y,RL,1,CompShg,StoneBr,1
6,2724,Lvl,2,GasA,Typ,TA,NAmes,Y,RL,1,CompShg,NAmes,1
6,3257,Lvl,2,GasA,Min2,TA,Timber,Y,RL,1,CompShg,Timber,1
6,3360,Lvl,2,GasA,Typ,Gd,Edwards,Y,RL,1,CompShg,Edwards,1
6,3211,Lvl,2,GasA,Typ,TA,ClearCr,Y,RL,1,CompShg,ClearCr,1
5,2972,Lvl,2,GasA,Typ,Gd,Sawyer,Y,RL,1,CompShg,Sawyer,1
9,4450,Lvl,3,GasA,Typ,Ex,StoneBr,Y,RL,1,CompShg,StoneBr,1
5,1936,Lvl,2,GasA,Typ,TA,OldTown,Y,RM,1,CompShg,OldTown,0
6,2281,Lvl,2,GasA,Typ,Gd,Somerst,Y,FV,1,CompShg,Somerst,1
7,2595,Lvl,1,GasA,Typ,TA,Crawfor,Y,RL,1,CompShg,Crawfor,1
5,1340,Lvl,1,GasA,Typ,TA,Edwards,Y,RL,1,CompShg,Edwards,1
7,3444,Lvl,2,GasA,Mod,Gd,OldTown,Y,RM,1,CompShg,OldTown,0
5,1756,Lvl,2,GasA,Typ,TA,BrkSide,Y,RL,1,CompShg,BrkSide,0
10,4143,Lvl,3,GasA,Typ,Ex,OldTown,Y,RM,1,WdShngl,OldTown,2
7,2405,Lvl,2,GasA,Typ,Gd,Mitchel,Y,RL,1,CompShg,Mitchel,0
5,2172,Lvl,1,GasA,Min2,TA,OldTown,Y,RL,1,CompShg,OldTown,0
5,2310,Bnk,2,GasA,Typ,TA,SawyerW,Y,RL,2,CompShg,SawyerW,2
8,3186,Lvl,2,GasA,Typ,Ex,StoneBr,Y,RL,1,CompShg,StoneBr,1
8,3580,Bnk,2,GasA,Maj1,Gd,Crawfor,Y,RL,1,CompShg,Crawfor,2
7,2204,Lvl,2,GasA,Typ,Gd,NAmes,Y,RL,1,CompShg,NAmes,0
7,2862,Lvl,2,GasA,Typ,Gd,CollgCr,Y,RL,1,CompShg,CollgCr,0
7,2679,Lvl,2,GasA,Maj1,Gd,Edwards,Y,RM,1,CompShg,Edwards,0
5,1728,Lvl,1,GasA,Typ,TA,CollgCr,Y,RL,1,CompShg,CollgCr,0
6,2311,Lvl,2,GasA,Typ,TA,NPkVill,Y,RL,1,CompShg,NPkVill,1
7,3452,Lvl,3,GasA,Typ,Ex,Somerst,Y,RL,1,CompShg,Somerst,1
8,4080,Lvl,2,GasA,Typ,Gd,NAmes,Y,RL,1,CompShg,NAmes,1
6,2613,Lvl,0,GasA,Typ,TA,OldTown,Y,RM,1,CompShg,OldTown,0
8,3426,Lvl,3,GasA,Typ,Ex,NridgHt,Y,RL,1,CompShg,NridgHt,1
4,2242,Lvl,2,GasA,Typ,TA,Edwards,Y,RM,1,CompShg,Edwards,0
6,2475,Lvl,2,GasA,Typ,TA,Mitchel,Y,RL,1,CompShg,Mitchel,2
6,1927,Lvl,1,GasA,Min1,TA,OldTown,Y,RL,1,CompShg,OldTown,0
6,1696,Lvl,2,GasA,Typ,Gd,CollgCr,Y,RM,1,CompShg,CollgCr,1
5,2004,Lvl,1,GasA,Typ,TA,OldTown,Y,RM,1,CompShg,OldTown,0
7,2866,Lvl,2,GasA,Typ,TA,Gilbert,Y,RL,1,CompShg,Gilbert,0
5,2836,Lvl,1,GasA,Min2,TA,Sawyer,Y,RL,1,CompShg,Sawyer,1
4,2200,Lvl,1,GasA,Typ,TA,NAmes,Y,RL,1,CompShg,NAmes,1
7,3219,Low,2,GasA,Typ,TA,SawyerW,Y,RL,1,CompShg,SawyerW,1
6,2184,Lvl,2,GasA,Typ,TA,NAmes,Y,RL,1,CompShg,NAmes,0
5,1728,Lvl,0,GasA,Typ,TA,Edwards,N,RL,1,CompShg,Edwards,0
6,2424,Lvl,2,GasA,Typ,Gd,Edwards,Y,RL,1,CompShg,Edwards,0
7,2752,Lvl,2,GasA,Typ,Gd,Somerst,Y,FV,1,CompShg,Somerst,1
5,1980,Lvl,2,GasA,Typ,TA,CollgCr,Y,RL,1,CompShg,CollgCr,0
6,2081,Lvl,1,GasA,Typ,TA,CollgCr,Y,RL,1,CompShg,CollgCr,0
5,2306,Lvl,1,GasA,Min1,Gd,NAmes,Y,RL,1,CompShg,NAmes,1
7,2872,Lvl,2,GasA,Typ,Gd,CollgCr,Y,RL,1,CompShg,CollgCr,0
4,2014,Lvl,1,GasA,Typ,TA,OldTown,N,RM,1,CompShg,OldTown,0
7,2752,Lvl,2,GasA,Typ,Gd,Crawfor,Y,RL,1,CompShg,Crawfor,2
7,2496,Lvl,2,GasA,Typ,Gd,Blmngtn,Y,RL,1,CompShg,Blmngtn,0
7,2996,Lvl,2,GasA,Typ,Gd,CollgCr,Y,RL,1,CompShg,CollgCr,0
6,3277,Lvl,2,GasA,Typ,Gd,Gilbert,Y,RL,1,CompShg,Gilbert,1
6,2265,Lvl,2,GasA,Typ,TA,NWAmes,Y,RL,1,CompShg,NWAmes,1
4,1728,Lvl,2,GasA,Typ,TA,NAmes,Y,RL,1,CompShg,NAmes,0
10,4784,Lvl,3,GasA,Typ,Ex,NridgHt,Y,RL,1,CompShg,NridgHt,1
5,1932,Lvl,1,GasA,Typ,TA,BrDale,Y,RM,1,CompShg,BrDale,0
7,3723,Lvl,3,GasA,Typ,Gd,NoRidge,Y,RL,1,CompShg,NoRidge,1
6,1470,Lvl,1,GasA,Typ,TA,BrDale,Y,RM,1,CompShg,BrDale,0
5,1824,Lvl,1,GasA,Typ,TA,Sawyer,Y,RL,1,CompShg,Sawyer,1
7,2928,Lvl,2,GasA,Typ,Gd,Blmngtn,Y,RL,1,CompShg,Blmngtn,1
6,2388,Lvl,1,GasA,Typ,TA,NAmes,Y,RL,1,CompShg,NAmes,0
8,4256,Lvl,3,GasA,Typ,Ex,NoRidge,Y,RL,1,CompShg,NoRidge,1
6,1470,Lvl,1,GasA,Typ,TA,BrDale,Y,RM,1,CompShg,BrDale,1
5,1788,Lvl,1,GasA,Typ,TA,CollgCr,Y,RL,1,CompShg,CollgCr,0
6,2820,Lvl,2,GasA,Typ,Gd,Gilbert,Y,RL,1,CompShg,Gilbert,2
6,1470,Lvl,1,GasA,Typ,TA,BrDale,Y,RM,1,CompShg,BrDale,0
7,2828,Lvl,2,GasA,Typ,Gd,CollgCr,Y,RL,1,CompShg,CollgCr,0
7,2740,Lvl,2,GasA,Typ,Gd,SawyerW,Y,RL,1,CompShg,SawyerW,0
8,3388,Lvl,3,GasA,Typ,Gd,NridgHt,Y,RL,1,CompShg,NridgHt,0
6,2222,Lvl,1,GasA,Typ,TA,Edwards,Y,RL,1,CompShg,Edwards,1
