OverallQual,TotalSF,LandContour,GarageCars,Heating,Functional,KitchenQual,Neighborhood,CentralAir,MSZoning,KitchenAbvGr,RoofMatl,Neighborhood,Fireplaces
8,3132,Lvl,2,GasA,Typ,Gd,Somerst,Y,FV,1,CompShg,Somerst,0
5,1552,Lvl,0,GasA,Typ,Gd,OldTown,Y,RM,1,CompShg,OldTown,0
5,1980,Lvl,1,GasA,Typ,TA,OldTown,N,RM,1,CompShg,OldTown,0
6,1843,Lvl,1,GasA,Typ,TA,SawyerW,Y,RL,1,CompShg,SawyerW,1
7,3058,Lvl,2,GasA,Typ,Gd,SawyerW,Y,RL,1,CompShg,SawyerW,2
7,3717,Lvl,2,GasA,Typ,TA,NWAmes,Y,RL,1,CompShg,NWAmes,1
6,2948,Lvl,1,GasA,Typ,Fa,OldTown,N,RM,2,CompShg,OldTown,0
6,2742,Lvl,2,GasA,Typ,TA,NAmes,Y,RL,1,CompShg,NAmes,1
7,2508,Lvl,2,GasA,Typ,Gd,CollgCr,Y,RL,1,CompShg,CollgCr,0
6,3588,Low,2,GasA,Typ,Gd,ClearCr,Y,RL,1,CompShg,ClearCr,2
3,2034,Lvl,0,GasA,Mod,Fa,BrkSide,Y,RL,1,CompShg,BrkSide,0
8,3198,HLS,2,GasA,Typ,Gd,Crawfor,Y,RM,1,CompShg,Crawfor,1
6,2438,Lvl,2,GasA,Typ,Gd,SawyerW,Y,RL,1,CompShg,SawyerW,0
6,2604,Lvl,1,GasA,Min1,Gd,NAmes,Y,RL,1,CompShg,NAmes,0
5,2628,Lvl,1,GasA,Typ,TA,NAmes,Y,RL,1,CompShg,NAmes,0
7,3266,Lvl,2,GasA,Typ,Gd,Gilbert,Y,RL,1,CompShg,Gilbert,1
6,2592,Lvl,2,GasA,Typ,Gd,Somerst,Y,FV,1,CompShg,Somerst,0
7,3208,Lvl,2,GasA,Typ,Gd,CollgCr,Y,RL,1,CompShg,CollgCr,1
7,2755,Lvl,2,GasA,Typ,Gd,CollgCr,Y,RL,1,CompShg,CollgCr,1
5,882,Lvl,1,GasA,Typ,TA,OldTown,Y,RM,1,CompShg,OldTown,0
6,2744,Lvl,2,GasA,Typ,TA,NAmes,Y,RL,1,CompShg,NAmes,1
8,4056,Lvl,3,GasA,Typ,Ex,CollgCr,Y,RL,1,CompShg,CollgCr,1
6,1718,Lvl,2,GasA,Typ,TA,Sawyer,Y,RL,1,CompShg,Sawyer,1
5,1852,Lvl,2,GasA,Typ,TA,OldTown,Y,RM,1,CompShg,OldTown,0
5,1444,Bnk,2,GasA,Typ,TA,OldTown,N,RM,1,CompShg,OldTown,0
6,2844,Lvl,2,GasA,Typ,Gd,NWAmes,Y,RL,1,CompShg,NWAmes,1
6,2313,HLS,2,GasA,Typ,TA,Gilbert,Y,RL,1,CompShg,Gilbert,1
5,2492,Bnk,1,GasA,Typ,Gd,SWISU,Y,RL,1,CompShg,SWISU,1
5,1518,Lvl,1,GasA,Typ,TA,IDOTRR,Y,RM,1,CompShg,IDOTRR,1
6,2256,Lvl,1,GasA,Typ,TA,Edwards,Y,RL,1,CompShg,Edwards,1
8,3034,Lvl,3,GasA,Typ,Gd,Somerst,Y,FV,1,CompShg,Somerst,1
7,2748,Low,2,GasA,Mod,TA,ClearCr,Y,RL,1,Membran,ClearCr,2
8,3422,Lvl,3,GasA,Typ,Gd,NoRidge,Y,RL,1,CompShg,NoRidge,1
6,2872,Lvl,1,GasA,Min1,TA,NAmes,Y,RL,1,CompShg,NAmes,1
5,1632,Lvl,1,GasA,Typ,TA,Mitchel,Y,RL,1,CompShg,Mitchel,0
7,2500,Lvl,2,GasW,Typ,Ex,BrkSide,N,RL,1,CompShg,BrkSide,0
7,3120,Lvl,2,GasA,Typ,Gd,Mitchel,Y,RL,1,CompShg,Mitchel,0
4,1728,Lvl,2,GasA,Typ,TA,Gilbert,Y,RL,1,CompShg,Gilbert,0
9,4242,Lvl,3,GasA,Typ,Ex,NridgHt,Y,RL,1,CompShg,NridgHt,1
7,3182,Lvl,2,GasA,Typ,TA,ClearCr,Y,RL,1,CompShg,ClearCr,1
7,2789,Lvl,2,GasA,Typ,Gd,SawyerW,Y,RL,1,CompShg,SawyerW,1
6,2524,Lvl,2,GasA,Typ,Gd,Somerst,Y,FV,1,CompShg,Somerst,0
7,2628,Lvl,2,GasA,Typ,Gd,NridgHt,Y,RL,1,CompShg,NridgHt,1
8,2936,Lvl,3,GasA,Typ,Gd,Somerst,Y,RL,1,CompShg,Somerst,1
6,3150,Lvl,2,GasA,Typ,Gd,SawyerW,Y,RL,1,CompShg,SawyerW,0
7,1875,Lvl,2,GasA,Typ,Gd,Somerst,Y,FV,1,CompShg,Somerst,0
6,2646,Bnk,2,GasA,Typ,Gd,NAmes,Y,RL,1,CompShg,NAmes,1
4,1716,Lvl,0,GasA,Typ,TA,NAmes,Y,RL,1,CompShg,NAmes,0
5,1782,Lvl,1,GasA,Typ,TA,Sawyer,Y,RL,1,CompShg,Sawyer,0
6,2094,Lvl,1,GasA,Typ,TA,BrkSide,Y,RL,1,CompShg,BrkSide,0
8,2998,Lvl,2,GasA,Typ,Gd,CollgCr,Y,RL,1,CompShg,CollgCr,1
5,2496,Bnk,0,GasA,Typ,Fa,SWISU,N,RL,1,CompShg,SWISU,0
5,2484,Lvl,1,GasA,Min2,TA,Edwards,Y,RL,1,CompShg,Edwards,1
7,3058,Lvl,2,GasA,Typ,Gd,NWAmes,Y,RL,1,CompShg,NWAmes,1
6,3060,Lvl,2,GasA,Typ,TA,NAmes,Y,RL,1,CompShg,NAmes,2
6,2006,Lvl,2,GasA,Typ,TA,Mitchel,Y,RL,1,CompShg,Mitchel,0
5,2468,Lvl,1,GasA,Typ,TA,IDOTRR,Y,RM,1,CompShg,IDOTRR,0
7,2925,Lvl,2,GasA,Typ,Gd,Somerst,Y,FV,1,CompShg,Somerst,1
6,2445,Lvl,2,GasA,Typ,TA,NWAmes,Y,RL,1,CompShg,NWAmes,1
6,2244,Lvl,1,GasA,Typ,Gd,Crawfor,Y,RL,1,CompShg,Crawfor,1
5,2501,Lvl,1,GasA,Typ,TA,Crawfor,Y,RL,1,CompShg,Crawfor,2
8,3480,Lvl,2,GasA,Typ,Gd,CollgCr,Y,RL,1,CompShg,CollgCr,1
7,3082,Lvl,3,GasA,Typ,Gd,CollgCr,Y,RL,1,CompShg,CollgCr,1
5,1788,Lvl,2,GasA,Typ,TA,CollgCr,Y,RL,1,CompShg,CollgCr,0
7,4963,Lvl,3,GasA,Typ,Gd,OldTown,Y,RM,1,CompShg,OldTown,1
8,4000,Lvl,3,GasA,Typ,Gd,CollgCr,Y,RL,1,CompShg,CollgCr,0
7,2943,Lvl,3,GasA,Typ,Gd,SawyerW,Y,RL,1,CompShg,SawyerW,1
6,1725,Lvl,0,GasA,Typ,Fa,IDOTRR,Y,RM,1,CompShg,IDOTRR,0
4,1722,Lvl,2,GasA,Typ,TA,Edwards,Y,RL,1,CompShg,Edwards,0
9,3840,Lvl,3,GasA,Typ,Ex,NridgHt,Y,RL,1,CompShg,NridgHt,3
6,2198,Lvl,2,GasA,Typ,Gd,Gilbert,Y,RL,1,CompShg,Gilbert,1
6,1944,Lvl,1,GasA,Typ,TA,NAmes,Y,RL,1,CompShg,NAmes,1
5,1911,Lvl,2,GasA,Typ,TA,OldTown,Y,RM,1,CompShg,OldTown,1
7,4172,Low,2,GasW,Typ,TA,Timber,Y,RL,1,CompShg,Timber,2
7,2369,Lvl,2,GasA,Typ,Ex,OldTown,Y,RM,1,CompShg,OldTown,1
7,2148,Lvl,2,GasA,Typ,Gd,Gilbert,Y,RL,1,CompShg,Gilbert,1
7,3198,Lvl,2,GasA,Typ,Ex,NWAmes,Y,RL,1,CompShg,NWAmes,1
8,3047,Lvl,3,GasA,Typ,Gd,Somerst,Y,FV,1,CompShg,Somerst,1
7,3993,Low,3,GasA,Typ,Gd,NoRidge,Y,RL,1,CompShg,NoRidge,1
7,2844,Lvl,2,GasA,Typ,TA,NWAmes,Y,RL,1,CompShg,NWAmes,2
9,3845,Lvl,3,GasA,Typ,Gd,NridgHt,Y,RL,1,CompShg,NridgHt,0
8,3604,Lvl,3,GasA,Typ,Gd,NridgHt,Y,RL,1,CompShg,NridgHt,1
7,4232,Lvl,2,GasA,Typ,Gd,SawyerW,Y,RL,1,CompShg,SawyerW,1
3,2325,Lvl,1,GasA,Typ,TA,OldTown,Y,RM,1,CompShg,OldTown,0
7,3688,Lvl,2,GasA,Typ,Gd,NAmes,Y,RL,1,WdShake,NAmes,1
5,1523,Lvl,2,GasA,Typ,TA,IDOTRR,N,RM,1,CompShg,IDOTRR,0
8,3438,Lvl,2,GasA,Typ,Gd,Veenker,Y,RL,1,CompShg,Veenker,2
6,2766,Lvl,1,GasA,Typ,TA,NAmes,Y,RL,1,CompShg,NAmes,0
6,2978,Bnk,2,GasA,Typ,Gd,BrkSide,N,RL,1,CompShg,BrkSide,0
5,1788,Lvl,1,GasA,Typ,TA,IDOTRR,N,RM,1,CompShg,IDOTRR,0
5,3456,Lvl,1,GasA,Typ,TA,NAmes,Y,RL,2,CompShg,NAmes,0
5,2112,Lvl,1,GasA,Typ,TA,NAmes,Y,RL,1,CompShg,NAmes,0
8,4835,Lvl,3,GasA,Typ,Gd,NridgHt,Y,RL,1,CompShg,NridgHt,1
7,2716,Lvl,2,GasA,Typ,Gd,NridgHt,Y,RM,1,CompShg,NridgHt,1
6,2581,Lvl,2,GasA,Typ,TA,Gilbert,Y,RL,1,CompShg,Gilbert,2
5,3285,HLS,2,GasA,Typ,TA,Timber,Y,RL,1,CompShg,Timber,2
9,3844,HLS,3,GasA,Typ,Gd,StoneBr,Y,RL,1,CompShg,StoneBr,1
7,3072,Lvl,2,GasA,Typ,Gd,CollgCr,Y,RL,1,CompShg,CollgCr,0
7,2829,Lvl,2,GasA,Typ,Gd,NWAmes,Y,RL,1,CompShg,NWAmes,0
6,2430,Lvl,1,GasA,Typ,TA,NAmes,Y,RL,1,CompShg,NAmes,0
8,2875,Lvl,2,GasA,Typ,Gd,Timber,Y,RL,1,CompShg,Timber,0
4,1562,Lvl,1,GasA,Typ,TA,SawyerW,Y,RH,1,CompShg,SawyerW,0
3,1040,Lvl,2,Wall,Typ,TA,NAmes,N,RL,2,CompShg,NAmes,0
9,3368,Lvl,2,GasA,Typ,Ex,NridgHt,Y,RL,1,CompShg,NridgHt,1
5,1648,Lvl,1,GasA,Typ,TA,MeadowV,Y,RM,1,CompShg,MeadowV,0
6,2549,Lvl,1,GasA,Typ,Fa,BrkSide,Y,RL,1,CompShg,BrkSide,1
6,1916,Lvl,1,GasA,Typ,TA,NAmes,Y,RL,1,CompShg,NAmes,0
6,2956,Lvl,2,GasA,Typ,TA,NAmes,Y,RL,1,CompShg,NAmes,2
7,2390,Lvl,2,GasA,Typ,Gd,NridgHt,Y,RL,1,CompShg,NridgHt,0
9,4576,Lvl,3,GasA,Typ,Ex,NridgHt,Y,RL,1,CompShg,NridgHt,2
9,3738,Lvl,2,GasA,Typ,Ex,NridgHt,Y,RL,1,CompShg,NridgHt,1
7,2906,Low,2,GasA,Typ,Gd,ClearCr,Y,RL,1,CompShg,ClearCr,1
5,1727,Lvl,1,GasA,Typ,TA,Edwards,N,RL,1,CompShg,Edwards,0
6,1344,Lvl,2,GasA,Typ,TA,OldTown,Y,RM,1,CompShg,OldTown,0
6,2535,Bnk,1,GasA,Typ,TA,SWISU,Y,RL,1,CompShg,SWISU,2
6,2400,Lvl,2,GasA,Typ,Gd,CollgCr,Y,RL,1,CompShg,CollgCr,0
6,2325,Lvl,2,GasA,Typ,Gd,Gilbert,Y,RL,1,CompShg,Gilbert,0
5,2284,Lvl,2,GasA,Typ,TA,MeadowV,Y,RM,1,CompShg,MeadowV,1
5,2414,Lvl,1,GasA,Min2,Gd,ClearCr,Y,RL,1,CompShg,ClearCr,0
8,3010,Lvl,2,GasA,Typ,Gd,NoRidge,Y,RL,1,CompShg,NoRidge,1
6,1800,Lvl,2,GasA,Typ,TA,Mitchel,Y,RL,1,CompShg,Mitchel,1
5,2388,Lvl,1,GasA,Typ,TA,BrkSide,Y,RL,1,CompShg,BrkSide,0
7,1922,Lvl,2,GasA,Typ,Gd,Edwards,Y,RL,1,CompShg,Edwards,1
6,1470,Lvl,1,GasA,Typ,Gd,BrDale,Y,RM,1,CompShg,BrDale,0
6,2370,Lvl,2,GasA,Typ,TA,NWAmes,Y,RL,1,CompShg,NWAmes,1
5,2016,Lvl,1,GasA,Typ,TA,IDOTRR,Y,RM,1,CompShg,IDOTRR,0
6,2788,Lvl,2,GasA,Typ,TA,NAmes,Y,RL,1,CompShg,NAmes,2
6,2530,Lvl,1,GasA,Typ,TA,NAmes,Y,RL,1,Tar&Grv,NAmes,1
5,2536,Lvl,1,GasA,Typ,TA,NAmes,Y,RL,1,CompShg,NAmes,1
5,2350,Lvl,2,GasA,Typ,Gd,NAmes,Y,RL,1,CompShg,NAmes,1
6,2617,Lvl,2,GasA,Typ,TA,Gilbert,Y,RL,1,CompShg,Gilbert,1
4,1588,Lvl,2,GasA,Min2,TA,ClearCr,Y,RL,1,CompShg,ClearCr,1
6,1496,Lvl,1,GasA,Typ,TA,SawyerW,Y,RL,1,CompShg,SawyerW,0
5,1927,Lvl,1,GasA,Min2,TA,NAmes,Y,RL,1,CompShg,NAmes,0
7,2775,Lvl,2,GasA,Typ,Gd,CollgCr,Y,RL,1,CompShg,CollgCr,1
1,1587,Low,0,GasA,Maj1,Fa,Edwards,N,RL,1,CompShg,Edwards,0
5,1784,Lvl,2,GasA,Typ,TA,CollgCr,Y,RL,1,CompShg,CollgCr,0
8,4046,Lvl,2,GasA,Typ,Gd,Somerst,Y,FV,1,CompShg,Somerst,1
9,3712,Lvl,3,GasA,Typ,Ex,StoneBr,Y,RL,1,CompShg,StoneBr,1
6,2782,Lvl,2,GasA,Typ,TA,Gilbert,Y,RL,1,CompShg,Gilbert,1
5,2717,Lvl,1,GasA,Typ,Gd,SWISU,Y,RL,1,CompShg,SWISU,1
7,2594,Lvl,2,GasA,Typ,Gd,Somerst,Y,FV,1,CompShg,Somerst,1
7,2736,Lvl,2,GasA,Typ,Gd,CollgCr,Y,RL,1,CompShg,CollgCr,0
6,1568,Lvl,2,GasA,Typ,TA,SawyerW,N,RH,1,CompShg,SawyerW,0
6,3533,Low,2,GasA,Typ,Gd,ClearCr,Y,RL,1,CompShg,ClearCr,2
8,2525,Lvl,2,GasA,Typ,Gd,Blmngtn,Y,RL,1,CompShg,Blmngtn,1
5,1842,Lvl,0,GasA,Typ,TA,Edwards,Y,RL,1,CompShg,Edwards,0
6,2166,Lvl,1,GasA,Typ,TA,Edwards,Y,RL,1,CompShg,Edwards,1
7,2947,Lvl,2,GasA,Typ,Gd,CollgCr,Y,RL,1,CompShg,CollgCr,0
10,4014,Lvl,3,GasA,Typ,Ex,NridgHt,Y,RL,1,CompShg,NridgHt,1
5,2228,Lvl,1,GasA,Typ,TA,Edwards,Y,RL,1,CompShg,Edwards,0
6,2765,Lvl,2,GasA,Typ,Gd,Mitchel,Y,RL,1,CompShg,Mitchel,1
5,882,Lvl,1,GasA,Typ,TA,NAmes,Y,RL,1,CompShg,NAmes,0
4,1576,Lvl,0,GasA,Typ,TA,BrkSide,Y,RL,1,CompShg,BrkSide,2
5,1769,Lvl,1,GasA,Typ,TA,OldTown,Y,RL,1,CompShg,OldTown,0
5,2288,Lvl,1,GasA,Typ,TA,Edwards,Y,RL,1,CompShg,Edwards,0
5,1788,Low,2,GasA,Typ,TA,CollgCr,Y,RL,1,CompShg,CollgCr,0
5,2676,Lvl,1,GasA,Typ,TA,NAmes,Y,RL,1,CompShg,NAmes,1
5,2038,Lvl,1,GasA,Maj2,TA,IDOTRR,Y,RM,1,CompShg,IDOTRR,0
7,2642,Lvl,2,GasA,Typ,Gd,Somerst,Y,FV,1,CompShg,Somerst,0
8,2548,Lvl,2,GasA,Typ,Ex,Veenker,Y,RL,1,CompShg,Veenker,2
7,2620,Lvl,2,GasA,Typ,Gd,CollgCr,Y,RL,1,CompShg,CollgCr,1
5,1344,Lvl,1,GasA,Typ,TA,Sawyer,Y,RL,1,CompShg,Sawyer,0
8,3404,Lvl,2,GasA,Typ,Gd,NoRidge,Y,RL,1,CompShg,NoRidge,1
6,2378,Lvl,2,GasA,Typ,TA,Gilbert,Y,RL,1,CompShg,Gilbert,1
4,2901,Lvl,2,GasA,Min1,TA,Sawyer,Y,RL,1,CompShg,Sawyer,1
6,2230,Lvl,1,GasA,Maj2,TA,SWISU,Y,RL,1,CompShg,SWISU,0
6,2520,Lvl,1,GasA,Typ,TA,Crawfor,Y,RL,1,CompShg,Crawfor,0
7,3235,Lvl,3,GasA,Typ,Gd,NridgHt,Y,RL,1,CompShg,NridgHt,1
8,3112,Lvl,3,GasA,Typ,Ex,Somerst,Y,FV,1,CompShg,Somerst,1
5,2552,Lvl,1,GasA,Mod,TA,Edwards,Y,RL,1,CompShg,Edwards,0
5,2112,Bnk,2,GasA,Typ,TA,Gilbert,N,RL,1,CompShg,Gilbert,0
7,2948,Lvl,2,GasA,Typ,Gd,Somerst,Y,FV,1,CompShg,Somerst,1
5,2036,Lvl,2,GasA,Typ,TA,OldTown,Y,RM,1,CompShg,OldTown,1
7,3177,Lvl,3,GasA,Typ,Gd,SawyerW,Y,RL,1,CompShg,SawyerW,1
7,2680,Lvl,2,GasA,Typ,Gd,Gilbert,Y,RL,1,CompShg,Gilbert,0
6,2072,Lvl,2,GasA,Typ,TA,Sawyer,Y,RL,1,CompShg,Sawyer,1
6,3994,Lvl,3,GasW,Typ,TA,Crawfor,N,RL,1,CompShg,Crawfor,1
5,1890,Lvl,1,GasA,Typ,TA,Edwards,N,RL,1,CompShg,Edwards,0
5,2112,Lvl,1,GasA,Typ,TA,NAmes,Y,RL,1,CompShg,NAmes,1
7,2688,Lvl,4,GasA,Typ,TA,Mitchel,Y,RM,2,CompShg,Mitchel,0
6,3204,Lvl,2,GasA,Typ,Gd,NWAmes,Y,RL,1,CompShg,NWAmes,1
5,1976,HLS,2,GasA,Typ,TA,Mitchel,Y,RL,1,CompShg,Mitchel,0
8,4100,Lvl,3,GasA,Typ,Gd,NoRidge,Y,RL,1,CompShg,NoRidge,1
6,2392,Lvl,1,GasA,Typ,TA,NAmes,Y,RL,1,CompShg,NAmes,1
7,2040,HLS,1,GasA,Typ,TA,OldTown,Y,RM,1,CompShg,OldTown,2
7,3162,Low,2,GasA,Typ,Gd,SawyerW,Y,RL,1,CompShg,SawyerW,1
4,1814,Lvl,1,GasA,Typ,TA,NAmes,Y,RL,1,CompShg,NAmes,0
7,2416,Lvl,2,GasA,Typ,Gd,CollgCr,Y,RL,1,CompShg,CollgCr,0
6,2804,Lvl,2,GasA,Typ,Gd,Timber,Y,RL,1,CompShg,Timber,1
6,1470,Lvl,1,GasA,Typ,TA,BrDale,Y,RM,1,CompShg,BrDale,0
6,2099,Bnk,0,GasA,Typ,TA,OldTown,Y,RM,1,CompShg,OldTown,0
5,2130,Lvl,2,GasA,Min1,TA,BrDale,Y,RM,1,CompShg,BrDale,0
6,2530,Lvl,2,GasA,Typ,TA,Gilbert,Y,RL,1,CompShg,Gilbert,1
4,1260,Lvl,0,GasA,Typ,TA,MeadowV,Y,RM,1,CompShg,MeadowV,0
7,2460,Lvl,2,GasA,Typ,Gd,CollgCr,Y,RL,1,CompShg,CollgCr,1
6,1766,Lvl,2,GasA,Typ,TA,OldTown,Y,RM,1,CompShg,OldTown,0
6,1788,Lvl,1,GasA,Typ,TA,BrkSide,Y,RM,1,CompShg,BrkSide,0
5,1134,Lvl,1,GasA,Typ,Gd,Crawfor,N,RL,1,CompShg,Crawfor,1
6,1880,Lvl,2,GasA,Typ,Gd,Edwards,Y,RL,1,CompShg,Edwards,0
10,5496,Lvl,3,GasA,Typ,Ex,NridgHt,Y,RL,1,CompShg,NridgHt,2
4,2880,Lvl,0,GasA,Typ,Fa,Edwards,N,RL,2,CompShg,Edwards,0
5,2651,Lvl,2,GasA,Typ,TA,BrkSide,Y,RM,1,CompShg,BrkSide,1
7,2516,Lvl,3,GasA,Typ,Gd,Blmngtn,Y,RL,1,CompShg,Blmngtn,1
7,2823,Lvl,2,GasA,Typ,Gd,CollgCr,Y,RL,1,CompShg,CollgCr,1
6,3125,Lvl,2,GasA,Typ,TA,Edwards,Y,RL,1,CompShg,Edwards,1
6,3405,Lvl,2,GasA,Mod,Gd,NAmes,Y,RL,1,CompShg,NAmes,1
7,2816,Lvl,2,GasA,Typ,Gd,Gilbert,Y,RL,1,CompShg,Gilbert,1
6,2156,Bnk,1,GasA,Typ,TA,IDOTRR,Y,RM,1,CompShg,IDOTRR,1
3,1832,Lvl,1,GasA,Typ,TA,OldTown,Y,RM,1,CompShg,OldTown,0
6,1626,Lvl,1,GasA,Typ,Gd,OldTown,Y,RM,1,CompShg,OldTown,0
7,3066,Low,2,GasA,Typ,Gd,ClearCr,Y,RL,1,WdShngl,ClearCr,2
6,2628,Lvl,2,GasA,Typ,TA,Timber,Y,RL,1,CompShg,Timber,0
8,2358,Lvl,2,GasA,Typ,Gd,Somerst,Y,FV,1,CompShg,Somerst,0
5,3456,Lvl,2,GasA,Typ,TA,Mitchel,Y,RL,2,CompShg,Mitchel,0
7,2484,Lvl,2,GasA,Typ,TA,NWAmes,Y,RL,1,CompShg,NWAmes,1
5,1968,Lvl,3,GasA,Typ,TA,OldTown,N,RM,1,CompShg,OldTown,0
4,3027,Low,2,GasA,Min1,Gd,ClearCr,Y,RL,1,Tar&Grv,ClearCr,2
8,2254,Lvl,1,GasA,Typ,Gd,OldTown,Y,RM,1,CompShg,OldTown,1
5,1912,Bnk,1,GasA,Typ,Gd,BrkSide,Y,RL,1,CompShg,BrkSide,1
8,2767,Lvl,2,GasA,Typ,TA,Somerst,Y,FV,1,CompShg,Somerst,0
7,1695,Lvl,2,GasA,Typ,Gd,SWISU,Y,RL,1,CompShg,SWISU,0
5,1728,Lvl,1,GasA,Typ,TA,Sawyer,Y,RL,1,CompShg,Sawyer,1
6,2375,HLS,1,GasA,Typ,TA,Crawfor,Y,RL,1,CompShg,Crawfor,1
5,2080,HLS,0,GasA,Typ,TA,CollgCr,Y,RL,1,CompShg,CollgCr,0
7,2789,Lvl,2,GasA,Typ,Gd,Blmngtn,Y,RM,1,CompShg,Blmngtn,1
7,2554,Lvl,2,GasA,Typ,TA,NAmes,Y,RL,1,Tar&Grv,NAmes,1
5,2372,Lvl,1,GasA,Typ,Gd,NAmes,Y,RL,1,CompShg,NAmes,2
8,3260,Lvl,3,GasA,Typ,Gd,NridgHt,Y,RL,1,CompShg,NridgHt,1
6,2542,Lvl,2,GasA,Typ,Gd,SawyerW,Y,RL,1,CompShg,SawyerW,0
8,2990,Lvl,2,GasA,Typ,Gd,StoneBr,Y,RL,1,CompShg,StoneBr,0
7,2777,Lvl,2,GasA,Typ,TA,NWAmes,Y,RL,1,WdShake,NWAmes,1
6,1619,Lvl,2,GasA,Typ,TA,Edwards,Y,RM,1,CompShg,Edwards,0
8,3952,Lvl,3,GasA,Typ,Gd,NridgHt,Y,RL,1,CompShg,NridgHt,1
8,3146,Lvl,2,GasA,Typ,Ex,StoneBr,Y,RL,1,CompShg,StoneBr,0
5,1940,Lvl,2,GasA,Typ,TA,Sawyer,Y,RL,1,CompShg,Sawyer,0
6,2971,Lvl,2,GasA,Typ,Gd,CollgCr,Y,RL,1,CompShg,CollgCr,1
9,4796,Lvl,3,GasA,Typ,Ex,NridgHt,Y,RL,1,CompShg,NridgHt,1
8,3423,Lvl,3,GasA,Typ,Gd,CollgCr,Y,RL,1,CompShg,CollgCr,1
4,2038,Bnk,2,GasA,Typ,TA,OldTown,Y,RM,1,CompShg,OldTown,0
9,3683,Lvl,3,GasA,Typ,Gd,NridgHt,Y,RL,1,CompShg,NridgHt,1
9,3584,HLS,3,GasA,Typ,Ex,NridgHt,Y,RL,1,CompShg,NridgHt,1
7,2736,Lvl,1,GasA,Min2,Ex,OldTown,Y,RM,1,CompShg,OldTown,1
